slice_id,kind,capability,current_path,target_path,status,delete_in_pr,verification,notes
slice-001-storage,schema,continuity index authority,,schemas/continuity-index.schema.json,verified,no,"cd scripts/runtime/engine && npm test -- src/continuity-control-plane.test.ts","No legacy/projection metadata"
slice-001-storage,schema,continuity record authority,,schemas/continuity-record.schema.json,verified,no,"cd scripts/runtime/engine && npm test -- src/continuity-control-plane.test.ts","No legacy/projection metadata"
slice-001-storage,source,control-plane helpers,,scripts/runtime/engine/src/continuity-control-plane.ts,verified,no,"cd scripts/runtime/engine && npm test -- src/continuity-control-plane.test.ts","Atomic validated storage"
slice-001-storage,test,control-plane tests,,scripts/runtime/engine/src/continuity-control-plane.test.ts,verified,no,"cd scripts/runtime/engine && npm test -- src/continuity-control-plane.test.ts","Covers fail-closed reads/writes"
slice-005-heuristic-deletion,source,continuity selector,scripts/runtime/engine/src/continuity.ts,scripts/runtime/engine/src/continuity.ts,verified,yes,"cd scripts/runtime/engine && npm test -- src/session-start.integration.test.ts src/user-prompt-submit.integration.test.ts","Run-local handoff preference and scan fallback removed"
slice-005-heuristic-deletion,source,prompt continuity injection,scripts/runtime/engine/src/cli/user-prompt-submit.ts,scripts/runtime/engine/src/cli/user-prompt-submit.ts,verified,yes,"cd scripts/runtime/engine && npm test -- src/user-prompt-submit.integration.test.ts","Back-compat continuity wording removed"
slice-005-heuristic-deletion,source,prompt contracts,scripts/runtime/engine/src/catalog/prompt-surface-contracts.ts,scripts/runtime/engine/src/catalog/prompt-surface-contracts.ts,verified,yes,"cd scripts/runtime/engine && npm test -- src/catalog/prompt-surface-contracts.test.ts","Compatibility-only fast-mode wording removed"
slice-005-heuristic-deletion,doc,handoff skill,skills/handoff/SKILL.md,skills/handoff/SKILL.md,verified,yes,"cd /Users/petepetrash/Code/circuit && node scripts/runtime/bin/catalog-compiler.js generate","Run-local handoff and freshest-selection guidance removed"
slice-006-closeout,generated,prompt contracts,scripts/runtime/generated/prompt-contracts.json,scripts/runtime/generated/prompt-contracts.json,planned,no,"cd /Users/petepetrash/Code/circuit && node scripts/runtime/bin/catalog-compiler.js generate","Generated after prompt-contract changes"
slice-006-closeout,generated,surface manifest,scripts/runtime/generated/surface-manifest.json,scripts/runtime/generated/surface-manifest.json,planned,no,"cd /Users/petepetrash/Code/circuit && node scripts/runtime/bin/catalog-compiler.js generate","Generated after prompt-contract changes"
slice-006-closeout,bundle,runtime bins,scripts/runtime/bin,scripts/runtime/bin,planned,no,"cd scripts/runtime/engine && node esbuild.config.mjs","Bundled after source changes"
