slice_id,kind,capability,current_path,target_path,status,delete_in_pr,verification,notes
slice-001-contract-docs,doc,workflow-contract,skills/build/SKILL.md,skills/build/SKILL.md,done,no,"release-integrity ratchets + vitest","workers-as-domain-skill wording removed"
slice-001-contract-docs,doc,workflow-contract,skills/repair/SKILL.md,skills/repair/SKILL.md,done,no,"release-integrity ratchets + vitest","workers-as-domain-skill wording removed"
slice-001-contract-docs,doc,workflow-contract,skills/migrate/SKILL.md,skills/migrate/SKILL.md,done,no,"release-integrity ratchets + vitest","workers-as-domain-skill wording removed"
slice-001-contract-docs,doc,workflow-contract,skills/sweep/SKILL.md,skills/sweep/SKILL.md,done,no,"release-integrity ratchets + vitest","workers-as-domain-skill wording removed"
slice-002-utility-taxonomy,doc,public-taxonomy,README.md,README.md,done,no,"release-integrity + catalog-validator","review/handoff moved under Utilities and verifier copy updated"
slice-002-utility-taxonomy,doc,catalog-taxonomy,CIRCUITS.md,CIRCUITS.md,verified,no,"release-integrity + catalog-validator","catalog already matched target utility split"
slice-002-utility-taxonomy,doc,contributor-taxonomy,ARCHITECTURE.md,ARCHITECTURE.md,done,no,"release-integrity","circuit-vs-utility framing aligned with adapter contract"
slice-002-utility-taxonomy,doc,authoring-taxonomy,CUSTOM-CIRCUITS.md,CUSTOM-CIRCUITS.md,done,no,"release-integrity","two-file circuit rule clarified and smoke-test wording removed"
slice-003-workers-and-architecture-examples,doc,workers-adapter-examples,skills/workers/SKILL.md,skills/workers/SKILL.md,verified,no,"release-integrity","workers remained the canonical template-assembly surface"
slice-003-workers-and-architecture-examples,doc,workers-adapter-examples,ARCHITECTURE.md,ARCHITECTURE.md,done,no,"release-integrity","parent-to-workers boundary and utility framing clarified"
slice-004-installed-verifier,script,installed-surface-ship-gate,scripts/verify-install.sh,scripts/verify-install.sh,done,no,"./scripts/verify-install.sh","self-contained verifier now covers templates, config precedence, malformed config, and CLI round trips"
slice-004-installed-verifier,doc,troubleshooting,README.md,README.md,done,no,"release-integrity + verify-install","troubleshooting now describes installed-surface checks instead of a smoke test"
slice-005-runtime-regression-ratchets,test,release-ratchets,scripts/runtime/engine/src/release-integrity.test.ts,scripts/runtime/engine/src/release-integrity.test.ts,done,no,"npx vitest run src/release-integrity.test.ts","ratchets added for taxonomy, worker docs, verifier coverage, and example isolation"
slice-005-runtime-regression-ratchets,test,relay-config-ratchets,scripts/runtime/engine/src/relay-scripts.test.ts,scripts/runtime/engine/src/relay-scripts.test.ts,done,no,"npx vitest run src/relay-scripts.test.ts","nested config, malformed config, and CRLF coverage added"
slice-005-runtime-regression-ratchets,test,cli-integration,scripts/runtime/engine/src/runtime-cli-integration.test.ts,scripts/runtime/engine/src/runtime-cli-integration.test.ts,done,no,"npx vitest run src/runtime-cli-integration.test.ts","subprocess install-root and verify-install round trips added"
slice-005-runtime-regression-ratchets,helper,config-discovery,scripts/runtime/engine/src/cli/read-config.ts,scripts/runtime/engine/src/cli/read-config.ts,verified-existing,no,"runtime-cli integration + relay-scripts","existing dirty-worktree changes already satisfied the new integration coverage"
slice-005-runtime-regression-ratchets,helper,resume-cli,scripts/runtime/engine/src/cli/resume.ts,scripts/runtime/engine/src/cli/resume.ts,verified-existing,no,"runtime-cli integration","existing dirty-worktree changes already satisfied the new integration coverage"
slice-005-runtime-regression-ratchets,helper,resume-runtime,scripts/runtime/engine/src/resume.ts,scripts/runtime/engine/src/resume.ts,verified-existing,no,"resume.test.ts + runtime-cli integration","existing dirty-worktree changes already satisfied the new integration coverage"
slice-005-runtime-regression-ratchets,test,resume-runtime-tests,scripts/runtime/engine/src/resume.test.ts,scripts/runtime/engine/src/resume.test.ts,verified-existing,no,"npx vitest run src/resume.test.ts","existing dirty-worktree tests already covered the fail-loud runtime behavior"
slice-006-ci-convergence,ci,verify-job,.github/workflows/ci.yml,.github/workflows/ci.yml,verified-no-change,no,"CI verify job","existing workflow stayed aligned because verify-install is now the real ship gate"
slice-999-closeout,control-plane,ratchet-ledger,.claude/migration/release-contract-convergence/RATCHETS.yaml,.claude/migration/release-contract-convergence/RATCHETS.yaml,done,no,"ship checklist","budgets driven to zero and notes updated"
slice-999-closeout,control-plane,ship-checklist,.claude/migration/release-contract-convergence/SHIP_CHECKLIST.md,.claude/migration/release-contract-convergence/SHIP_CHECKLIST.md,done,no,"manual closeout execution","ship gate executed in-session"
slice-999-closeout,control-plane,handoff,.claude/migration/release-contract-convergence/HANDOFF.md,.claude/migration/release-contract-convergence/HANDOFF.md,done,no,"final closeout","handoff rewritten with final state and next step"
